gj,guo,hua,word,ye
0.0,2.0,0.0,"果核
",0.0
1.0,0.0,0.0,"落叶乔木
",0.0
0.0,0.0,2.0,"头状花序
",0.0
0.0,0.0,0.0,"小叶
",2.0
1.0,0.0,0.0,"草本植物
",0.0
0.0,0.0,0.0,"上面
",1.0
2.0,0.0,0.0,"枝
",0.0
0.0,2.0,0.0,"梨果
",0.0
0.0,2.0,0.0,"果柄
",0.0
0.0,0.0,1.0,"子房
",0.0
0.0,0.0,2.0,"花梗
",0.0
0.0,0.0,1.0,"苞片
",0.0
0.0,2.0,0.0,"果梗长
",0.0
0.0,0.0,0.0,"侧脉
",1.0
0.0,0.0,0.0,"浅裂
",1.0
2.0,0.0,0.0,"须根系
",0.0
0.0,0.0,1.0,"萼片
",0.0
0.0,0.0,0.0,"心形
",1.0
2.0,0.0,0.0,"根状茎
",0.0
0.0,0.0,0.0,"叶轴
",2.0
0.0,2.0,0.0,"果肉
",0.0
1.0,0.0,0.0,"二年生
",0.0
0.0,0.0,2.0,"雄花
",0.0
1.0,0.0,0.0,"冬芽
",0.0
1.0,0.0,0.0,"1年生草本
",0.0
0.0,0.0,2.0,"圆锥花序
",0.0
0.0,2.0,0.0,"胞果
",0.0
0.0,0.0,1.0,"总苞
",0.0
0.0,0.0,1.0,"小穗
",0.0
0.0,0.0,2.0,"总状花序
",0.0
0.0,0.0,2.0,"花被
",0.0
0.0,2.0,0.0,"果瓣
",0.0
1.0,0.0,0.0,"草本
",0.0
1.0,0.0,0.0,"附生
",0.0
0.0,2.0,0.0,"果面
",0.0
0.0,0.0,0.5,"裂片
",0.5
0.0,2.0,0.0,"分果
",0.0
0.0,0.0,0.0,"托叶
",2.0
0.0,0.0,1.0,"高脚碟状
",0.0
0.0,2.0,0.0,"瓠果
",0.0
0.0,0.3333333333333333,0.3333333333333333,"膜质
",0.3333333333333333
1.0,0.0,0.0,"灌木
",0.0
0.0,0.0,2.0,"雄蕊
",0.0
1.0,0.0,0.0,"多年生
",0.0
0.0,0.0,0.0,"急尖
",1.0
0.0,2.0,0.0,"荚果
",0.0
0.0,1.0,0.0,"球形
",0.0
2.0,0.0,0.0,"匍匐茎
",0.0
0.0,0.0,0.0,"网脉
",1.0
0.0,0.0,2.0,"花柱
",0.0
0.0,0.0,2.0,"雌花
",0.0
0.0,2.0,0.0,"果皮
",0.0
0.0,0.0,0.0,"叶片
",2.0
0.0,2.0,0.0,"裂果
",0.0
0.0,2.0,0.0,"颖果
",0.0
0.0,0.0,0.0,"革质
",1.0
0.0,2.0,0.0,"果
",0.0
0.0,0.0,0.0,"绿色
",1.0
0.0,0.0,0.0,"叶柄
",2.0
1.0,0.0,0.0,"乔木
",0.0
0.0,0.0,0.0,"叶
",2.0
0.0,2.0,0.0,"复果
",0.0
0.0,0.0,0.0,"顶端
",1.0
0.0,0.0,0.0,"互生
",1.0
0.0,2.0,0.0,"翅果
",0.0
2.0,0.0,0.0,"直立茎
",0.0
1.0,0.0,0.0,"多年生草本
",0.0
0.0,2.0,0.0,"单果
",0.0
0.0,2.0,0.0,"种皮
",0.0
2.0,0.0,0.0,"茎
",0.0
0.0,0.0,2.0,"花冠
",0.0
0.0,0.0,0.0,"叶面
",2.0
0.0,2.0,0.0,"浆果
",0.0
0.0,0.0,0.0,"柔毛
",1.0
0.0,0.0,0.0,"羽片
",1.0
0.0,2.0,0.0,"柑果
",0.0
0.0,2.0,0.0,"核果
",0.0
2.0,0.0,0.0,"攀缘茎
",0.0
1.0,0.0,0.0,"半灌木
",0.0
0.0,0.0,2.0,"花单生
",0.0
0.0,2.0,0.0,"坚果
",0.0
0.0,0.0,1.0,"覆瓦状
",0.0
1.0,0.0,0.0,秆,0.0
0.0,2.0,0.0,"干果
",0.0
0.0,0.0,0.5,"先端
",0.5
0.0,0.0,1.0,"唇瓣
",0.0
0.0,0.0,1.0,"鳞片
",0.0
0.0,0.0,2.0,"花瓣
",0.0
0.0,0.0,2.0,"花药
",0.0
0.0,2.0,0.0,"果序
",0.0
0.0,1.0,0.0,"胚乳
",0.0
1.0,0.0,0.0,"棱
",0.0
0.0,0.0,0.0,"短柔毛
",1.0
0.0,0.0,1.0,"药室
",0.0
0.0,0.0,0.0,"叶革质
",2.0
0.0,0.0,1.0,"胚珠
",0.0
0.0,2.0,0.0,"小坚果
",0.0
0.0,2.0,0.0,"蒴果
",0.0
0.0,0.0,0.0,"渐尖
",1.0
0.0,0.0,2.0,"花序
",0.0
2.0,0.0,0.0,"根茎
",0.0
0.0,0.0,0.0,"叶鞘
",2.0
0.0,2.0,0.0,"种子
",0.0
2.0,0.0,0.0,"幼枝
",0.0
